Year,LocationAbbr,LocationDesc,PriorityArea1,Topic,Data_Value_Unit,Data_Value,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,TopicId,BreakOutCategoryId,BreakOutId,GeoLocation
2006,US,United States,None,Heart Failure,Percent (%),5.2,5.1,5.3,Race,Other,T5,BOC04,RAC07,
2005,US,United States,None,Heart Failure,Percent (%),5.1,5.1,5.2,Race,Other,T5,BOC04,RAC07,
2007,US,United States,None,Coronary Heart Disease,Percent (%),8.5,8.4,8.5,Age,65+,T4,BOC03,AGE06,
2008,US,United States,None,Coronary Heart Disease,Percent (%),5.1,5.1,5.1,Gender,Female,T4,BOC02,GEN02,
2004,US,United States,None,Heart Failure,Percent (%),6.1,6.1,6.1,Overall,Overall,T5,BOC01,OVR01,
2012,US,United States,None,Heart Failure,Percent (%),4.6,4.6,4.7,Race,Other,T5,BOC04,RAC07,
2005,NY,New York,Million Hearts,Stroke,Percent (%),3.0,2.9,3.0,Age,65+,T6,BOC03,AGE06,"(42.82700103200045, -75.54397042699964)"
2008,CT,Connecticut,Million Hearts,Stroke,Percent (%),3.6,3.5,3.7,Age,75+,T6,BOC03,AGE08,"(41.56266102000046, -72.64984095199964)"
2008,ME,Maine,Million Hearts,Stroke,Percent (%),6.0,3.7,8.3,Race,Other,T6,BOC04,RAC07,"(45.254228894000505, -68.98503133599962)"
2010,OH,Ohio,Million Hearts,Stroke,Percent (%),3.7,3.7,3.8,Age,75+,T6,BOC03,AGE08,"(40.06021014100048, -82.40426005599966)"
2012,OH,Ohio,Million Hearts,Stroke,Percent (%),4.1,4.0,4.1,Age,75+,T6,BOC03,AGE08,"(40.06021014100048, -82.40426005599966)"
2013,CT,Connecticut,Million Hearts,Stroke,Percent (%),3.8,3.7,3.9,Age,75+,T6,BOC03,AGE08,"(41.56266102000046, -72.64984095199964)"
2005,ME,Maine,None,Major Cardiovascular Disease,Percent (%),18.9,11.4,26.3,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(45.254228894000505, -68.98503133599962)"
2005,WA,Washington,None,Major Cardiovascular Disease,Percent (%),28.7,28.4,29.1,Gender,Male,T1,BOC02,GEN01,"(47.52227862900048, -120.47001078999972)"
2004,DE,Delaware,None,Major Cardiovascular Disease,Percent (%),27.8,26.6,29.1,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.008830667000495, -75.57774116799965)"
2006,TN,Tennessee,None,Major Cardiovascular Disease,Percent (%),25.7,23.5,27.9,Race,Other,T1,BOC04,RAC07,"(35.68094058000048, -85.77449091399967)"
2007,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),25.4,25.0,25.8,Overall,Overall,T1,BOC01,OVR01,"(43.65595011300047, -71.50036091999965)"
2006,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),29.2,28.3,30.0,Gender,Male,T1,BOC02,GEN01,"(21.304850435000446, -157.85774940299973)"
2007,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),22.3,22.1,22.6,Gender,Female,T1,BOC02,GEN02,"(39.29058096400047, -76.60926011099963)"
2007,GA,Georgia,None,Major Cardiovascular Disease,Percent (%),23.7,20.3,27.2,Race,Hispanic,T1,BOC04,RAC04,"(32.83968109300048, -83.62758034599966)"
2005,OR,Oregon,None,Major Cardiovascular Disease,Percent (%),25.4,23.3,27.5,Race,Other,T1,BOC04,RAC07,"(44.56744942400047, -120.15503132599969)"
2008,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),23.6,15.7,31.6,Race,Hispanic,T1,BOC04,RAC04,"(32.84057112200048, -86.63186076199969)"
2006,UT,Utah,None,Major Cardiovascular Disease,Percent (%),23.2,22.8,23.6,Race,Non-Hispanic White,T1,BOC04,RAC01,"(39.360700171000474, -111.58713063499971)"
2007,ND,North Dakota,None,Major Cardiovascular Disease,Percent (%),23.8,20.9,26.7,Race,Other,T1,BOC04,RAC07,"(47.47531977900047, -100.11842104899966)"
2008,MS,Mississippi,None,Major Cardiovascular Disease,Percent (%),23.6,23.1,24.1,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(32.745510099000455, -89.53803082499968)"
2007,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),23.7,15.9,31.5,Race,Hispanic,T1,BOC04,RAC04,"(32.84057112200048, -86.63186076199969)"
2005,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),25.7,23.0,28.4,Race,Other,T1,BOC04,RAC07,"(37.645970271000465, -84.77497104799966)"
2006,FL,Florida,None,Major Cardiovascular Disease,Percent (%),22.5,22.0,23.0,Race,Hispanic,T1,BOC04,RAC04,"(28.932040377000476, -81.92896053899966)"
2007,DE,Delaware,None,Major Cardiovascular Disease,Percent (%),22.2,21.6,22.8,Gender,Female,T1,BOC02,GEN02,"(39.008830667000495, -75.57774116799965)"
2004,SC,South Carolina,None,Major Cardiovascular Disease,Percent (%),27.1,26.8,27.3,Race,Non-Hispanic White,T1,BOC04,RAC01,"(33.998821303000454, -81.04537120699968)"
2006,WV,West Virginia,None,Major Cardiovascular Disease,Percent (%),29.2,28.8,29.6,Gender,Male,T1,BOC02,GEN01,"(38.66551020200046, -80.71264013499967)"
2004,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),26.6,26.2,27.0,Age,65+,T1,BOC03,AGE06,"(42.46940091300047, -93.81649055599968)"
2007,VA,Virginia,None,Major Cardiovascular Disease,Percent (%),23.9,23.7,24.1,Race,Non-Hispanic White,T1,BOC04,RAC01,"(37.54268067400045, -78.45789046299967)"
2006,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),19.2,18.7,19.6,Gender,Female,T1,BOC02,GEN02,"(39.493240390000494, -117.07184056399967)"
2006,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),16.1,12.1,20.0,Race,Hispanic,T1,BOC04,RAC04,"(38.635790776000476, -92.56630005299968)"
2005,NY,New York,None,Major Cardiovascular Disease,Percent (%),24.7,24.6,24.9,Age,75+,T1,BOC03,AGE08,"(42.82700103200045, -75.54397042699964)"
2004,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),24.3,23.5,25.1,Gender,Female,T1,BOC02,GEN02,"(21.304850435000446, -157.85774940299973)"
2008,MT,Montana,None,Major Cardiovascular Disease,Percent (%),21.3,20.5,22.1,Age,65+,T1,BOC03,AGE06,"(47.06652897200047, -109.42442064499971)"
2008,NV,Nevada,None,Major Cardiovascular Disease,Percent (%),20.2,17.8,22.5,Race,Hispanic,T1,BOC04,RAC04,"(39.493240390000494, -117.07184056399967)"
2007,CO,Colorado,None,Major Cardiovascular Disease,Percent (%),20.3,20.0,20.5,Race,Non-Hispanic White,T1,BOC04,RAC01,"(38.843840757000464, -106.13361092099967)"
