Year,LocationAbbr,LocationDesc,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Topic,Data_Value_Unit,Data_Value,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,TopicId,BreakOutCategoryId,BreakOutId
2006,US,United States,None,None,None,None,Heart Failure,Percent (%),5.2,5.1,5.3,Race,Other,T5,BOC04,RAC07
2005,US,United States,None,None,None,None,Heart Failure,Percent (%),5.1,5.1,5.2,Race,Other,T5,BOC04,RAC07
2007,US,United States,None,None,None,None,Coronary Heart Disease,Percent (%),8.5,8.4,8.5,Age,65+,T4,BOC03,AGE06
2008,US,United States,None,None,None,None,Coronary Heart Disease,Percent (%),5.1,5.1,5.1,Gender,Female,T4,BOC02,GEN02
2004,US,United States,None,None,None,None,Heart Failure,Percent (%),6.1,6.1,6.1,Overall,Overall,T5,BOC01,OVR01
2012,US,United States,None,None,None,None,Heart Failure,Percent (%),4.6,4.6,4.7,Race,Other,T5,BOC04,RAC07
2005,NY,New York,Million Hearts,None,None,None,Stroke,Percent (%),3,2.9,3,Age,65+,T6,BOC03,AGE06
2008,CT,Connecticut,Million Hearts,None,None,None,Stroke,Percent (%),3.6,3.5,3.7,Age,75+,T6,BOC03,AGE08
2008,ME,Maine,Million Hearts,None,None,None,Stroke,Percent (%),6,3.7,8.3,Race,Other,T6,BOC04,RAC07
2010,OH,Ohio,Million Hearts,None,None,None,Stroke,Percent (%),3.7,3.7,3.8,Age,75+,T6,BOC03,AGE08
2012,OH,Ohio,Million Hearts,None,None,None,Stroke,Percent (%),4.1,4,4.1,Age,75+,T6,BOC03,AGE08
2013,CT,Connecticut,Million Hearts,None,None,None,Stroke,Percent (%),3.8,3.7,3.9,Age,75+,T6,BOC03,AGE08
2005,ME,Maine,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.9,11.4,26.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2005,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.7,28.4,29.1,Gender,Male,T1,BOC02,GEN01
2004,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.8,26.6,29.1,Race,Non-Hispanic Black,T1,BOC04,RAC02
2006,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,23.5,27.9,Race,Other,T1,BOC04,RAC07
2007,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.4,25,25.8,Overall,Overall,T1,BOC01,OVR01
2006,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),29.2,28.3,30,Gender,Male,T1,BOC02,GEN01
2007,MD,Maryland,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.3,22.1,22.6,Gender,Female,T1,BOC02,GEN02
2007,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.7,20.3,27.2,Race,Hispanic,T1,BOC04,RAC04
2005,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.4,23.3,27.5,Race,Other,T1,BOC04,RAC07
2008,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.6,15.7,31.6,Race,Hispanic,T1,BOC04,RAC04
2006,UT,Utah,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.2,22.8,23.6,Race,Non-Hispanic White,T1,BOC04,RAC01
2007,ND,North Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,20.9,26.7,Race,Other,T1,BOC04,RAC07
2008,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.6,23.1,24.1,Race,Non-Hispanic Black,T1,BOC04,RAC02
2007,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.7,15.9,31.5,Race,Hispanic,T1,BOC04,RAC04
2005,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,23,28.4,Race,Other,T1,BOC04,RAC07
2006,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.5,22,23,Race,Hispanic,T1,BOC04,RAC04
2007,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.2,21.6,22.8,Gender,Female,T1,BOC02,GEN02
2004,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.1,26.8,27.3,Race,Non-Hispanic White,T1,BOC04,RAC01
2006,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),29.2,28.8,29.6,Gender,Male,T1,BOC02,GEN01
2004,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.6,26.2,27,Age,65+,T1,BOC03,AGE06
2007,VA,Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.9,23.7,24.1,Race,Non-Hispanic White,T1,BOC04,RAC01
2006,NV,Nevada,None,None,None,None,Major Cardiovascular Disease,Percent (%),19.2,18.7,19.6,Gender,Female,T1,BOC02,GEN02
2006,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),16.1,12.1,20,Race,Hispanic,T1,BOC04,RAC04
2005,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.7,24.6,24.9,Age,75+,T1,BOC03,AGE08
2004,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.3,23.5,25.1,Gender,Female,T1,BOC02,GEN02
2008,MT,Montana,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.3,20.5,22.1,Age,65+,T1,BOC03,AGE06
2008,NV,Nevada,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.2,17.8,22.5,Race,Hispanic,T1,BOC04,RAC04
2007,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.3,20,20.5,Race,Non-Hispanic White,T1,BOC04,RAC01
2008,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.3,22.4,24.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2007,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.9,Age,75+,T1,BOC03,AGE08
2008,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),23,22.8,23.2,Gender,Female,T1,BOC02,GEN02
2007,SC,South Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.6,25.2,25.9,Age,65+,T1,BOC03,AGE06
2008,IL,Illinois,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,23.2,23.8,Race,Non-Hispanic Black,T1,BOC04,RAC02
2005,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.7,19.7,21.8,Gender,Female,T1,BOC02,GEN02
2007,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.3,23,23.5,Gender,Female,T1,BOC02,GEN02
2006,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),33.3,28.6,38.1,Race,Hispanic,T1,BOC04,RAC04
2004,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.8,26.7,27,Race,Non-Hispanic White,T1,BOC04,RAC01
2007,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.2,27.8,28.5,Gender,Male,T1,BOC02,GEN01
2006,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.3,25.1,25.5,Age,75+,T1,BOC03,AGE08
2005,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,25.1,25.4,Overall,Overall,T1,BOC01,OVR01
2005,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.9,25.7,26.1,Overall,Overall,T1,BOC01,OVR01
2004,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.4,26.1,26.7,Overall,Overall,T1,BOC01,OVR01
2005,KY,Kentucky,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.7,15.3,34.1,Race,Hispanic,T1,BOC04,RAC04
2006,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.4,26.2,26.6,Race,Non-Hispanic White,T1,BOC04,RAC01
2004,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.9,24.6,29.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2008,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,25,25.5,Overall,Overall,T1,BOC01,OVR01
2005,WA,Washington,None,None,None,None,Major Cardiovascular Disease,Percent (%),22,21.8,22.3,Gender,Female,T1,BOC02,GEN02
2007,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.6,26.2,26.9,Age,75+,T1,BOC03,AGE08
2006,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.4,28.1,28.7,Gender,Male,T1,BOC02,GEN01
2005,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.9,20.6,21.2,Race,Non-Hispanic White,T1,BOC04,RAC01
2007,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.3,25.1,25.5,Race,Non-Hispanic White,T1,BOC04,RAC01
2006,KS,Kansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.3,23.9,24.7,Age,65+,T1,BOC03,AGE06
2006,AZ,Arizona,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.8,17.9,19.7,Race,Other,T1,BOC04,RAC07
2008,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.1,19.4,20.7,Gender,Female,T1,BOC02,GEN02
2005,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.2,26,26.4,Overall,Overall,T1,BOC01,OVR01
2004,MT,Montana,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,23.3,24.2,Overall,Overall,T1,BOC01,OVR01
2006,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,25.5,25.9,Race,Non-Hispanic White,T1,BOC04,RAC01
2004,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),27,26.8,27.2,Overall,Overall,T1,BOC01,OVR01
2006,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.1,23.8,24.4,Overall,Overall,T1,BOC01,OVR01
2005,ND,North Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.6,24.6,26.5,Age,65+,T1,BOC03,AGE06
2005,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.2,25.8,26.5,Race,Non-Hispanic Black,T1,BOC04,RAC02
2005,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.3,27.2,27.4,Overall,Overall,T1,BOC01,OVR01
2007,VA,Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.9,24.2,Overall,Overall,T1,BOC01,OVR01
2006,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.3,23.3,31.3,Race,Other,T1,BOC04,RAC07
2008,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,23.4,23.7,Age,65+,T1,BOC03,AGE06
2008,DC,"Washington, DC",None,None,None,None,Major Cardiovascular Disease,Percent (%),24.6,23.8,25.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2004,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),25,24.5,25.6,Race,Hispanic,T1,BOC04,RAC04
2007,KS,Kansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.4,28,28.8,Gender,Male,T1,BOC02,GEN01
2007,KS,Kansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,24.1,26.8,Race,Non-Hispanic Black,T1,BOC04,RAC02
2006,ME,Maine,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.6,25,26.2,Age,65+,T1,BOC03,AGE06
2007,NM,New Mexico,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,21.5,22.7,Age,65+,T1,BOC03,AGE06
2005,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,22.7,25,Age,75+,T1,BOC03,AGE08
2004,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.7,27.9,29.5,Gender,Male,T1,BOC02,GEN01
2007,WY,Wyoming,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.1,26,28.1,Gender,Male,T1,BOC02,GEN01
2006,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.1,24.4,25.8,Age,65+,T1,BOC03,AGE06
2008,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.3,21,25.7,Race,Hispanic,T1,BOC04,RAC04
2007,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.7,24.6,24.9,Age,75+,T1,BOC03,AGE08
2004,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,24.5,26.5,Age,65+,T1,BOC03,AGE06
2006,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.4,23.3,23.5,Race,Non-Hispanic White,T1,BOC04,RAC01
2004,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.3,25.2,29.5,Race,Other,T1,BOC04,RAC07
2006,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.9,26.7,27,Race,Non-Hispanic White,T1,BOC04,RAC01
2005,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.9,27.5,28.2,Gender,Male,T1,BOC02,GEN01
2006,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,23.8,24.6,Race,Non-Hispanic Black,T1,BOC04,RAC02
2005,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),13.5,4.2,22.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2005,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.6,23.3,23.9,Race,Non-Hispanic Black,T1,BOC04,RAC02
2008,CO,Colorado,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.4,18.6,22.2,Race,Hispanic,T1,BOC04,RAC04
2006,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,24.5,26.9,Race,Non-Hispanic Black,T1,BOC04,RAC02
2008,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.9,20.4,21.3,Gender,Female,T1,BOC02,GEN02
2007,MA,Massachusetts,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.7,21.4,22,Age,65+,T1,BOC03,AGE06
2007,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,22.1,22.6,Gender,Female,T1,BOC02,GEN02
2004,ID,Idaho,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.9,17.1,28.7,Race,Hispanic,T1,BOC04,RAC04
2008,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),22,17.5,26.4,Race,Hispanic,T1,BOC04,RAC04
2005,MN,Minnesota,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,22.4,25.5,Race,Other,T1,BOC04,RAC07
2005,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),30.2,29.5,30.9,Gender,Male,T1,BOC02,GEN01
2006,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,21.5,23.3,Age,65+,T1,BOC03,AGE06
